name,cre_id,location/x,location/y,_place_id
GASOLINERIA LAZARO CHANONA BORGES SA DE CV,PL/777/EXP/ES/2015,-93.38528,16.76469,2231
"PETROMAX, S.A. DE C.V.",PL/547/EXP/ES/2015,-100.318,25.77943,2232
GASOLINERA NORPONIENTE S.A. DE C.V.,PL/889/EXP/ES/2015,-86.89943,21.14857,2233
DISTRIBUIDORA DE COBUSTIBLES LAS CAÑADAS SA DE CV,PL/736/EXP/ES/2015,-90.65433,16.50013,2234
"PETROMAX, S.A. DE C.V.",PL/598/EXP/ES/2015,-99.0914,19.6322,2235
"Estación de Servicio Cantabria, S.A. de C.V.",PL/822/EXP/ES/2015,-99.19987,18.88947,2236
"GRUPO OCTANO, S.A. DE C.V.",PL/424/EXP/ES/2015,-105.2634,21.0257,2237
GASOLINERA GUASAVE SA DE CV,PL/903/EXP/ES/2015,-108.4668,25.56817,2238
"PETROMAX, S.A. DE C.V.",PL/495/EXP/ES/2015,-98.29279,26.08957,2239
GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/403/EXP/ES/2015,-115.5797,32.58874,2240
"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/391/EXP/ES/2015,-109.0046,25.79292,2241
"SERVICIO JARDINES, S.A. DE C.V. ( ES12369)",PL/671/EXP/ES/2015,-90.04852,20.3788,2242
Gasolinera Colon S.A. de C.V.,PL/828/EXP/ES/2015,-103.3658,20.65207,2243
"PETROMAX, S.A. DE C.V.",PL/569/EXP/ES/2015,-100.3575,25.69688,2244
"GRUPO OCTANO, S.A. DE C.V.",PL/363/EXP/ES/2015,-104.8595,21.47486,2245
"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/390/EXP/ES/2015,-108.9919,25.82133,2246
"PETROMAX, S.A. DE C.V.",PL/527/EXP/ES/2015,-100.9627,25.50189,2247
OPERADORA LAS CRUCES SA DE CV,PL/791/EXP/ES/2015,-100.5463,28.70271,2248
"PETROMAX, S.A. DE C.V.",PL/478/EXP/ES/2015,-106.1335,28.68869,2249
GRUPO GOCALVI SA DE CV,PL/830/EXP/ES/2015,-106.4936,31.72121,2250
Estacion El Encanto S.A. de C.V.,PL/726/EXP/ES/2015,-116.6503,32.56519,2251
GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/382/EXP/ES/2015,-115.483,32.59637,2252
"Gasolinería Turquesa, S.A. de C.V.",PL/864/EXP/ES/2015,-99.07876,19.67295,2253
"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/381/EXP/ES/2015,-108.9903,25.76621,2254
"PETROMAX, S.A. DE C.V.",PL/469/EXP/ES/2015,-100.4128,25.76333,2255
"ESTACION RAEL, S. DE R.L. DE C.V.",PL/869/EXP/ES/2015,-116.8668,32.50251,2256
"GRUPO OCTANO, S.A. DE C.V.",PL/535/EXP/ES/2015,-105.3483,20.95066,2257
MULTISERVICIOS LA PILARICA SA DE CV,PL/376/EXP/ES/2015,-108.7157,25.70819,2258
"DIAZ GAS, S.A. DE C.V.",PL/776/EXP/ES/2015,-106.4733,31.7203,2259
"ESTACION RAEL, S. DE R.L. DE C.V.",PL/682/EXP/ES/2015,-115.506,32.64334,2260
"PETROMAX, S.A. DE C.V.",PL/597/EXP/ES/2015,-100.5805,25.78744,2261
"GRUPO OCTANO, S.A. DE C.V.",PL/400/EXP/ES/2015,-101.2223,19.67717,2262
"PETROMAX, S.A. DE C.V.",PL/434/EXP/ES/2015,-100.846,25.44611,2263
"SERVICIO PALAU, SA DE CV",PL/673/EXP/ES/2015,-101.4273,27.88953,2264
"ARY SUPER SERVICIOS II, SA DE CV",PL/886/EXP/ES/2015,-103.5191,25.54451,2265
"Gaeli Diesel, S.A. de C.V.",PL/872/EXP/ES/2015,-91.82955,18.65546,2266
"PETROMAX, S.A. DE C.V.",PL/537/EXP/ES/2015,-99.10912,19.47922,2267
"SERVICIO CIBOLA, S.A. DE C.V.",PL/670/EXP/ES/2015,-117.0165,32.53784,2268
COMBUSTIBLES Y REPARACIONES DE CHIAPAS SA DE CV,PL/844/EXP/ES/2015,-93.1921,16.76767,2269
"ESTACION LA VICTORIA, S.A. DE C.V.",PL/657/EXP/ES/2015,-116.6227,32.57238,2270
"PETROMAX, S.A. DE C.V.",PL/578/EXP/ES/2015,-100.2961,25.75637,2271
"Gasolinería Magnolias, S.A. de C.V.",PL/631/EXP/ES/2015,-99.09545,19.37437,2272
OPERADORA DE COMBUSTIBLE SA DE CV,PL/782/EXP/ES/2015,-110.2967,24.1315,2273
"PETROMAX, S.A. DE C.V.",PL/552/EXP/ES/2015,-98.27705,26.00909,2274
"PETROMAX, S.A. DE C.V.",PL/605/EXP/ES/2015,-116.9097,32.51204,2275
MULTISERVICIOS LA PILARICA SA DE CV,PL/361/EXP/ES/2015,-108.9416,25.8021,2276
"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",PL/840/EXP/ES/2015,-105.3485,20.76174,2277
"PETROMAX, S.A. DE C.V.",PL/521/EXP/ES/2015,-100.1539,25.42441,2278
"PETROMAX, S.A. DE C.V.",PL/543/EXP/ES/2015,-103.4968,25.5994,2279
"PETROMAX, S.A. DE C.V.",PL/529/EXP/ES/2015,-103.3584,25.53979,2280
"PETROMAX, S.A. DE C.V.",PL/515/EXP/ES/2015,-100.1625,25.73066,2281
SERVICIO 8 DE ENERO S.A. DE C.V.,PL/763/EXP/ES/2015,-101.4921,26.99841,2282
GASOLINERA EL 27 SA DE CV,PL/703/EXP/ES/2015,-99.16292,23.73274,2283
"PETROMAX, S.A. DE C.V.",PL/486/EXP/ES/2015,-100.1952,25.69145,2284
"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",PL/863/EXP/ES/2015,-115.4868,32.66468,2285
"PETROMAX, S.A. DE C.V.",PL/602/EXP/ES/2015,-100.3921,25.67348,2286
"Estación de Servicio Sauvage, S.A. de C.V.",PL/826/EXP/ES/2015,-99.02579,19.61582,2287
"GRUPO OCTANO, S.A. DE C.V.",PL/411/EXP/ES/2015,-101.0389,19.82875,2288
"ESTACION DEL ROBLE, S.A. DE C.V.",PL/642/EXP/ES/2015,-116.9525,32.43441,2289
"PETROMAX, S.A. DE C.V.",PL/541/EXP/ES/2015,-100.2357,25.71714,2290
GASOPRIM SA DE CV,PL/758/EXP/ES/2015,-103.7026,19.2684,2291
"GRUPO OCTANO, S.A. DE C.V.",PL/420/EXP/ES/2015,-104.9266,21.52014,2292
MULTISERVICIOS LA PILARICA SA DE CV,PL/369/EXP/ES/2015,-108.9937,25.76829,2293
GASOLINERIA LOMALINDA 0194 S.A DE C.V.,PL/843/EXP/ES/2015,-99.21804,19.42066,2294
"GRUPO OCTANO, S.A. DE C.V.",PL/509/EXP/ES/2015,-105.3746,20.76066,2295
"PETROMAX, S.A. DE C.V.",PL/488/EXP/ES/2015,-100.9607,25.47087,2296
ENERGETICOS CERRO DE ORTEGA SA DE CV,PL/753/EXP/ES/2015,-103.729,18.76095,2297
DESARROLLO INTEGRAL OCOZOCOAUTLA SA DE CV,PL/743/EXP/ES/2015,-91.99803,15.70444,2298
"PETROMAX, S.A. DE C.V.",PL/565/EXP/ES/2015,-103.4483,25.54146,2299
