,index,name,cre_id,Lng,Lat,place_id,gas_price,gas type,Rating,User Ratings,Google_Name,Address,Types
9588,25391,"ALEROB ESTACIONES, S.A. DE C.V.",PL/10662/EXP/ES/2015,-117.0679,32.483270000000005,12785,17.89,regular,3.7,3,Gasko,"Vecomañ Ejido Hilpan 20551, Ejido Chilpancingo, Tijuana","gas_station, point_of_interest, establishment"
9589,25394,"Servicio Tornado, S.A. DE C.V.",PL/10663/EXP/ES/2015,-99.99047,21.9252,12786,17.99,regular,5,1,Gasolinera Noyola,"Calle Dr. Ignacio Gama Salcedo 757, Zona Centro, Rioverde","gas_station, point_of_interest, establishment"
9590,25397,"ESTACION DE SERVICIOS ZAPOTECOS, S.A. DE C.V.",PL/10664/EXP/ES/2015,-97.02999,16.72757,12787,19.75,regular,3,1,Pemex,"Libertad # 58 Paraje Los Llanos Camino Principal, Santa María Lachixío","gas_station, point_of_interest, establishment"
9591,25399,"Grupo Gas Mochoa, S.A. de CV",PL/10665/EXP/ES/2015,-99.63388,19.263579999999997,12788,17.69,regular,3.7,160,Gasolinera PEMEX,"Ajusco, Xinantécatl, Metepec","gas_station, point_of_interest, establishment"
9592,25402,"Gasolinera Luna, S.A. de CV",PL/10666/EXP/ES/2015,-99.68647,19.27688,12789,17.99,regular,3.9,49,Gasolinera Luna,"Blvd. Solidaridad las Torres 2005, Cultural, Toluca de Lerdo","gas_station, point_of_interest, establishment"
9593,25405,"ENERGIA GUADALUPANA, S.A. DE C.V.",PL/10667/EXP/ES/2015,-103.27,20.633229999999998,12790,18.59,regular,3.7,73,Gasolinera Pemex,"Av Río Nilo No. 7551, Lomas de La Soledad, Tonalá","gas_station, point_of_interest, establishment"
9594,25407,GAS EL DESMONTE S.A. DE C.V.,PL/10668/EXP/ES/2015,-98.7911,20.0463,12791,19.25,regular,3.7,176,Gasolinera San Antonio,"717 42111, Rancho la Colonia, México 85, San Antonio, Pachuca de Soto","gas_station, point_of_interest, establishment"
9595,25410,"ESTACION EL NARANJO, SA DE CV",PL/10669/EXP/ES/2015,-111.6783,25.042479999999998,12792,18.89,regular,4.1,66,Service SA de CV Constitution - E02567,"México 1 km 212, Renero, Cd Constitución","gas_station, point_of_interest, establishment"
9596,25413,"GASOLINERA REFORMA, SA DE CV",PL/10670/EXP/ES/2015,-109.9374,22.90462,12793,18.99,regular,4.5,21,Eco Gasolineras,Cabo San Lucas,"gas_station, point_of_interest, establishment"
9597,25415,"GASOLINERA REFORMA, SA DE CV",PL/10671/EXP/ES/2015,-109.9462,22.91635,12794,19.59,regular,4.3,10,Eco Gasolinera,Cabo San Lucas,"gas_station, point_of_interest, establishment"
